Date,Power in kW,Last Hour Power in kW,Temperature in °C,Humidity in %,Solar Radiation in W/m^2
2017-06-18 14:00:00,132.0193238,129.2599126,33.931666666666665,20.0,817.0833333333334
2017-06-18 15:00:00,133.8140713,132.0193238,35.1025,20.0,736.5416666666666
2017-06-18 16:00:00,134.6724106,133.8140713,34.50333333333334,20.0,582.2833333333333
2017-06-18 17:00:00,133.3929597,134.6724106,33.714999999999996,20.0,397.34999999999997
2017-06-18 18:00:00,130.6362694,133.3929597,32.596666666666664,20.0,209.13333333333333
2017-06-18 19:00:00,126.2738295,130.6362694,31.371666666666666,20.0,48.77166666666667
2017-06-18 20:00:00,126.0042511,126.2738295,30.655,20.0,1.5788333333333335
2017-06-18 21:00:00,127.4666302,126.0042511,30.370833333333334,20.0,0.8945
2017-06-18 22:00:00,121.7611122,127.4666302,28.434166666666666,23.923333333333332,0.8298333333333333
2017-06-18 23:00:00,122.5895216,121.7611122,28.243333333333336,23.80333333333333,0.0
2017-06-19 00:00:00,119.7313208,122.5895216,26.909166666666668,32.14333333333334,0.0
2017-06-19 01:00:00,117.4057885,119.7313208,25.149166666666662,40.79416666666666,0.0
2017-06-19 02:00:00,116.1861974,117.4057885,22.905833333333334,47.745000000000005,0.0
2017-06-19 03:00:00,115.9528279,116.1861974,24.096666666666668,40.13666666666666,0.0
2017-06-19 04:00:00,114.4919139,115.9528279,25.40833333333333,33.05833333333333,0.0
2017-06-19 05:00:00,121.2638154,114.4919139,24.83,37.65833333333333,10.37675
2017-06-19 06:00:00,134.3530188,121.2638154,24.996666666666666,37.22166666666667,99.27916666666665
2017-06-19 07:00:00,160.265196,134.3530188,26.002499999999998,36.156666666666666,288.2
2017-06-19 08:00:00,279.5262197,160.265196,27.309166666666666,32.48833333333334,451.75
2017-06-19 09:00:00,391.5820909,279.5262197,28.623076923076926,31.31692307692308,697.9076923076923
2017-06-19 10:00:00,438.2995253,391.5820909,29.690833333333334,29.189166666666665,820.1666666666666
2017-06-19 11:00:00,445.3347262,438.2995253,30.579166666666666,28.540833333333335,899.5
2017-06-19 12:00:00,382.5258892,445.3347262,32.873333333333335,23.439166666666665,934.0
2017-06-19 13:00:00,419.8386374,382.5258892,34.19416666666667,20.790833333333335,923.0833333333334
2017-06-19 14:00:00,457.4010805,419.8386374,34.501666666666665,21.912499999999998,853.8333333333334
2017-06-19 15:00:00,464.4496766,457.4010805,30.948333333333334,28.511666666666667,732.25
2017-06-19 16:00:00,437.6645091,464.4496766,26.575,43.355,567.3166666666666
2017-06-19 17:00:00,366.773134,437.6645091,25.13769230769231,47.77230769230769,378.4230769230769
2017-06-19 18:00:00,245.4245521,366.773134,24.878333333333334,47.380833333333335,200.6
2017-06-19 19:00:00,204.502844,245.4245521,24.911666666666665,48.12583333333333,49.215833333333336
2017-06-19 20:00:00,169.3389789,204.502844,23.09166666666667,61.94083333333333,2.2505
2017-06-19 21:00:00,154.626654,169.3389789,21.820833333333336,70.5275,1.5749166666666667
2017-06-19 22:00:00,141.8742143,154.626654,22.1825,69.44083333333333,1.3998333333333333
2017-06-19 23:00:00,130.3723421,141.8742143,21.819999999999997,70.70083333333334,0.0
2017-06-20 00:00:00,128.6581751,130.3723421,20.81416666666667,76.26666666666667,0.0
2017-06-20 01:00:00,126.9911006,128.6581751,22.4475,65.31666666666666,0.0
2017-06-20 02:00:00,126.1928304,126.9911006,23.337500000000002,57.1875,0.0
2017-06-20 03:00:00,125.6559759,126.1928304,24.500833333333333,46.22333333333333,0.0
2017-06-20 04:00:00,125.6157903,125.6559759,24.1875,46.574999999999996,0.0
2017-06-20 05:00:00,125.6779524,125.6157903,22.295,68.215,22.1255
2017-06-20 06:00:00,142.5849971,125.6779524,22.686666666666667,60.946666666666665,139.94166666666666
2017-06-20 07:00:00,178.271275,142.5849971,23.61,48.0025,321.15000000000003
2017-06-20 08:00:00,296.4460317,178.271275,25.653333333333332,42.472500000000004,510.90833333333336
2017-06-20 09:00:00,385.7834344,296.4460317,27.8275,36.520833333333336,678.775
2017-06-20 10:00:00,427.7001547,385.7834344,29.361666666666665,31.037499999999998,808.3333333333334
2017-06-20 11:00:00,450.7867819,427.7001547,28.270833333333332,37.1425,888.9166666666666
2017-06-20 12:00:00,397.8839046,450.7867819,27.58083333333333,39.483333333333334,925.9166666666666
2017-06-20 13:00:00,414.8501812,397.8839046,27.559166666666666,39.59166666666667,915.0
2017-06-20 14:00:00,442.6586164,414.8501812,26.195833333333336,44.7875,849.1666666666666
2017-06-20 15:00:00,449.036406,442.6586164,26.878333333333334,42.43833333333333,743.875
2017-06-20 16:00:00,418.2048416,449.036406,26.081666666666667,46.406666666666666,589.5416666666666
2017-06-20 17:00:00,350.9339379,418.2048416,24.411666666666665,55.63583333333333,400.7416666666666
2017-06-20 18:00:00,224.7854791,350.9339379,23.8425,57.64833333333333,208.42499999999998
2017-06-20 19:00:00,183.0518963,224.7854791,23.61666666666667,58.43083333333333,53.23166666666666
2017-06-20 20:00:00,158.3122177,183.0518963,23.371666666666666,60.04333333333333,2.525
2017-06-20 21:00:00,137.1172439,158.3122177,23.075,61.29583333333333,1.7018333333333333
2017-06-20 22:00:00,129.581816,137.1172439,21.7675,67.51,1.4045833333333333
2017-06-20 23:00:00,127.580908,129.581816,20.750833333333333,71.63333333333334,0.0
2017-06-21 00:00:00,124.8057993,127.580908,20.62,72.85833333333333,0.0
2017-06-21 01:00:00,126.6878249,124.8057993,20.4925,74.80833333333334,0.0
2017-06-21 02:00:00,123.0853533,126.6878249,19.94,74.64999999999999,0.0
